geo_point_2d,id_ref_zda,nom_zda
"48.78023729710839, 2.281430595437462",43186,Robinson
"48.787566728367985, 2.292988009258979",43125,Fontenay-aux-Roses
"48.78135672132316, 2.2976476777940333",59206,Sceaux
"48.70275104207729, 2.071242846320578",47889,Saint-Rémy-lès-Chevreuse
"48.70121772031537, 2.097975858420524",47052,Courcelle sur Yvette
"48.698196976301936, 2.136566717058361",47888,Gif-sur-Yvette
"48.695264122108014, 2.151642038623571",47046,La Hacquinière
"48.696252747814434, 2.1643782427741725",43103,Bures-sur-Yvette
"48.69750567080332, 2.1810544390412185",43086,Orsay Ville
"48.70540392478546, 2.1927348848067565",43232,Le Guichet
"48.70596898482229, 2.212262378017493",474069,Lozère
"48.70814058364534, 2.237314364639455",43175,Palaiseau - Villebon
"48.71694628758515, 2.245672514581906",47009,Palaiseau
"48.72509804119919, 2.259946049525822",58774,Massy - Palaiseau
"48.73488814734515, 2.2740024044842477",47940,Massy - Verrières
"48.73968104253053, 2.287667495463073",43228,Les Baconnets
"48.743016569903006, 2.295921406897603",43124,Fontaine Michalon
"48.754946525531125, 2.3009868557349513",43066,Antony
"48.76169369040741, 2.3042273475518598",46007,La Croix de Berny
"48.76956333368779, 2.309905064564246",43177,Parc de Sceaux
"48.78031379639699, 2.312307716888594",43097,Bourg-la-Reine
"48.79333629623622, 2.322201633670121",44493,Bagneux
"48.798892500080676, 2.328136923064751",43067,Arcueil - Cachan
"48.808296588631435, 2.334354309639648",43607,Laplace
"48.81522993471633, 2.340891132444595",45877,Gentilly
"48.8210896506153, 2.3389784720131814",473843,Cité Universitaire
"48.83307317062929, 2.333203670349575",473890,Denfert-Rochereau
"48.840033787418086, 2.3370964308800906",44500,Port Royal
"48.84543415048044, 2.339762849560476",43833,Luxembourg
"48.85211888263096, 2.34402115205528",44877,Saint-Michel Notre-Dame
"48.86182227279812, 2.3470126872387564",45102,Châtelet les Halles
"48.88175948915267, 2.357570193470877",462394,Gare du Nord
"48.91800820579238, 2.362470767055213",43145,La Plaine Stade de France
"48.92435387966093, 2.386388291064694",43140,La Courneuve - Aubervilliers
"48.93073957031752, 2.4257914255599538",43231,Le Bourget
"48.93270621869947, 2.4547663827657766",43122,Drancy
"48.93230541606913, 2.475674370833512",46163,Le Blanc-Mesnil
"48.93219600596196, 2.495513142584314",43071,Aulnay-sous-Bois
"48.9468939111449, 2.524779047056861",43193,Sevran Beaudottes
"48.962709513300425, 2.512644627819613",58793,Villepinte
"48.97342490721537, 2.514360285533493",47878,Parc des Expositions
"49.009756452138376, 2.5612326952251063",462398,Aéroport CDG 1 (Terminal 3) - RER
"49.00468746180567, 2.57058948552452",473364,Aéroport Charles de Gaulle 2 (Terminal 2)
"48.936280185651775, 2.5347149747425237",43194,Sevran - Livry
"48.944181065974725, 2.5664480169630006",46222,Vert Galant
"48.95314838758261, 2.6031353051184487",46725,Villeparisis - Mitry-le-Neuf
"48.97585875402046, 2.6424063023101896",43164,Mitry - Claye

